Item,Ref Des,Qty,Manufacturer,Mfg Part #,Description / Value,Package,Type,Your Instructions / Notes
3,B4-C2,1,Murata,GRM155C80J105KA12D,1uF 6.3V,C_0402_1005Metric,SMD,or similar 6.3V 1uF capacitor; Unpolarized capacitor;
4,"B4-D1,B3-D1,B2-D1,B1-D1",4,Wurth,150040VS73240,green,LED_0402_1005Metric,SMD,
6,"B4-R1,B3-R1,B2-R1,B1-R1",4,Generic,Generic,1k,R_0402_1005Metric,SMD,"Generic Resistor, 0402"
7,B4-U1,1,Monolithic Power Systems (MPS),MA730GQ,MA730,QFN-16-1EP_3x3mm_P0.5mm_EP1.75x1.75mm,SMD,
8,B4-J1,1,JST,SH_SM08B-SRSS-TB_1x08-1MP_P1.00mm_Horizontal,Conn_01x08_MountingPin,JST_SH_SM08B-SRSS-TB_1x08-1MP_P1.00mm_Horizontal,SMD,
12,"B3-J1,B2-J1,B1-J1",3,JST,SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal,Conn_01x06_MountingPin,JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal,SMD,
13,"B3-C2,B2-C1,B2-C2,B1-C1",4,AVX,04026D104KAT2A,100nF 6.3V,C_0402_1005Metric,SMD,or similar 6.3V 100nF capacitor; Unpolarized capacitor;
16,B3-U1,1,Infineon,TLE5012BE1000XUMA1,TLE5012B,Infineon_PG-DSO-8,SMD,
17,B2-U1,1,Allegro MicroSystems,A1333LLETR-T,A1333,TSSOP-14_4.4x5mm_P0.65mm,SMD,
18,B1-C2,1,Murata,GRM155R60J106ME15D,10uF 6.3V,C_0402_1005Metric,SMD,or other 6.3V 10uF capacitor; Unpolarized capacitor;
19,B1-U1,1,Broadcom,AEAT-8800-Q24TR,AEAT_8800_Q24,QFN-24-1EP_5x5mm_P0.65mm_EP3.2x3.2mm,SMD,